﻿system_reference_number,facility_name,unit_name_and_description,form_score,patient_comments,Sentiment Score,Translated Text,Misspelled Words
IP-DPOS-2022-398-087953,Tembisa Tertiary Hospital,20 paeds,1,"Im am happy 
Service is good
Im sibusiso Mother am very happy with everything nurses and doctor are good in word 20",0.9217,"Im am happy 
Service is good
Im sibusiso Mother am very happy with everything nurses and doctor are good in word 20",sibusiso
IP-DPOS-2022-321-706954,Rahima Moosa Regional Hospital,6,1,So far i was treated nicely in everything.,0.4404,So far i was treated nicely in everything.,everything.
IP-DPOS-2022-56-026086,Carletonville District Hospital,Ward 09 ANC (Maternity),1,The treatment was good perfect and professional ,0.765,The treatment was good perfect and professional ,
IP-DPOS-2022-56-792765,Carletonville District Hospital,Ward 01,1,"Everything went well, I appreciate ",0.5859,"Everything went well, I appreciate ","well,"
IP-DPOS-2022-56-787810,Carletonville District Hospital,Ward 01,1,"Service is good, please provide hot water and the heaters are not working ",0.6369,"Service is good, please provide hot water and the heaters are not working ","good,"
IP-DPOS-2022-56-986264,Carletonville District Hospital,Ward 01,1,Ba re tshwerwe hantle,0,Ba re tshwerwe hantle,"hantle,tshwerwe"
IP-DPOS-2022-56-190453,Carletonville District Hospital,Ward 01,0.86,"Everything is well, they treat us very well",0.7096,"Everything is well, they treat us very well","well,"
IP-DPOS-2022-56-571192,Carletonville District Hospital,Ward 01,1,Service is good ,0.4404,Service is good ,
IP-DPOS-2022-56-830744,Carletonville District Hospital,Ward 01,1,Good service ,0.4404,Good service ,
IP-DPOS-2022-56-564310,Carletonville District Hospital,Ward 01,0.71,The service is good ,0.4404,The service is good ,
IP-DPOS-2022-56-784640,Carletonville District Hospital,Ward 01,1,"Happy, zonke zirght",0.5719,"Happy, Zonke Zirght","zirght,happy,,zonke"
IP-DPOS-2022-56-023967,Carletonville District Hospital,Ward 01,1,Everything is okay ,0.2263,Everything is okay ,
IP-DPOS-2022-56-805055,Carletonville District Hospital,Ward 01,1,"Ke ikutlwa ke thabile haholo, baokibaka nebang ntshwere hantlehaholo nka rata hobalebowakaofela",0,"Keekutlwa Kehabile Haholo, Baokibaka Nebang Ntshwere Hantlehaholo Nka Rata Hobalebowakaofela","nebang,baokibaka,haholo,,hantlehaholo,rata,hobalebowakaofela,keekutlwa,kehabile,ntshwere,nka"
IP-DPOS-2022-56-656896,Carletonville District Hospital,Ward 01,0.86,Happy with everything ,0.5719,Happy with everything ,
IP-DPOS-2022-56-063778,Carletonville District Hospital,Ward 01,1,Happy ,0.5719,Happy,
IP-DPOS-2022-321-839841,Rahima Moosa Regional Hospital,1,1,"Feeling at home all the staff treats us with  love and care.  Ek is mal oor die personellede
",0.6124,"Feeling at home all the staff treats us with  love and care.  Ek is mal oor die personellede
","care.,personellede"
IP-DPOS-2022-321-587169,Rahima Moosa Regional Hospital,7,1,"I just proud of your care here the way you treat us , i really much more apprecient you guys you treat us well.
 Thanks",0.9403,"I just proud of your care here the way you treat us , i really much more apprecient you guys you treat us well.
 Thanks","apprecient,well."
IP-DPOS-2022-56-111839,Carletonville District Hospital,Ward 01,1,Good,0.4404,Good,
IP-DPOS-2022-56-139533,Carletonville District Hospital,Ward 01,1,"They treat us very well,and they are friendly ",0.7096,"They treat us very well,and they are friendly ","well,and"
IP-DPOS-2022-56-964002,Carletonville District Hospital,Ward 01,1,I am very happy with the service ,0.6115,I am very happy with the service ,
IP-DPOS-2022-321-566149,Rahima Moosa Regional Hospital,12,1,"I am so happy with the service i get from the stuff doctors and nurses.  They care about their patient and look after them every minutes.

Keep the good work.",0.8777,"I am so happy with the service i get from the stuff doctors and nurses.  They care about their patient and look after them every minutes.

Keep the good work.","nurses.,work.,minutes."
IP-DPOS-2022-321-396547,Rahima Moosa Regional Hospital,12,1,They did take care of me very nicely,0.7501,They did take care of me very nicely,
IP-DPOS-2022-56-944085,Carletonville District Hospital,Ward 07 (TB Ward),1,All is good ,0.4404,All is good ,
IP-DPOS-2022-56-047496,Carletonville District Hospital,Ward 07 (TB Ward),1,Akunazingubo kuyabanda ebusuku,0,Akunazingubo to bubble,akunazingubo
IP-DPOS-2022-321-199826,Rahima Moosa Regional Hospital,12,0.71,"1. Some healthcare facilitators need to 
    learn not to be rude to patients.  

2. Learn to advise patients nicely before 
    shouting or being rude.",0.782,"1. Some healthcare facilitators need to 
    learn not to be rude to patients.  

2. Learn to advise patients nicely before 
    shouting or being rude.","rude.,patients."
IP-DPOS-2022-56-967426,Carletonville District Hospital,Ward 07 (TB Ward),1,Akhuna imibono,0,Akhuna Imibono,"akhuna,imibono"
IP-DPOS-2022-321-163950,Rahima Moosa Regional Hospital,12,0.57,Lets treat each other with respect especially nurses.,0.7003,Lets treat each other with respect especially nurses.,nurses.
IP-DPOS-2022-56-304803,Carletonville District Hospital,Ward 07 (TB Ward),1,Tswaro ya bona ebile hantle hahole,0,Tswaro ya boona Emile Hantle Hantle Hahole,"hantle,tswaro,boona,hahole"
IP-DPOS-2022-56-952643,Carletonville District Hospital,Ward 05 (medical female ward),1,"The was no hot water to wash our body, we spent the whole week without washing our Bodies ",-0.296,"The was no hot water to wash our body, we spent the whole week without washing our Bodies ","body,"
IP-DPOS-2022-321-918694,Rahima Moosa Regional Hospital,12,0.86,"As a patient who was admitted at Rahima Moosa Hospital, I am very happy to announce about the service that i got, it was very amaizing, as we know that patience is a prosper to every situation you are in I apptouse my hands the staff at ward 12.",0.659,"As a patient who was admitted at Rahima Moosa Hospital, I am very happy to announce about the service that i got, it was very amaizing, as we know that patience is a prosper to every situation you are in I apptouse my hands the staff at ward 12.","rahima,hospital,,amaizing,,apptouse,moosa,got,"
IP-DPOS-2022-56-347782,Carletonville District Hospital,Ward 01,1,I have no problems with the overall care. Everyone has made my stay here comfortable and warm. Thank you.,0.7184,I have no problems with the overall care. Everyone has made my stay here comfortable and warm. Thank you.,"care.,you.,warm."
IP-DPOS-2022-205-482705,Kopanong District Hospital,WARD 5(GYNAE WARD),1,I am happy with the  nurses they are not rude and they treat their patients well and they also know how to communicate with their patients.,0.8744,I am happy with the  nurses they are not rude and they treat their patients well and they also know how to communicate with their patients.,patients.
IP-DPOS-2022-321-586210,Rahima Moosa Regional Hospital,12,0.43,I am not happy with some of the workers.  They are not nice and make so much noise when we are sleeping and when we ask for milk for the babies they say no.  but other from that the doctors are very nice and friendly.,-0.145,I am not happy with some of the workers.  They are not nice and make so much noise when we are sleeping and when we ask for milk for the babies they say no.  but other from that the doctors are very nice and friendly.,"no.,friendly.,workers."
IP-DPOS-2022-56-220408,Carletonville District Hospital,Ward 06,1,Service was very good ,0.4927,Service was very good ,
IP-DPOS-2022-56-144466,Carletonville District Hospital,Ward 06,0.86,Mosepetlele nurse a be anaswe mo tlhokona aa e se kebe le bo thata le bona ,0,Mosepetlele Nurse a Be Anaswe Mo tlhokona aa ea e Kebe will only be that only bona,"anaswe,tlhokona,mosepetlele,kebe,aa"
IP-DPOS-2022-398-030748,Tembisa Tertiary Hospital,Ward 15,1,Best hospital stay with the day shift staff / Nurses,0.6369,Best hospital stay with the day shift staff / Nurses,
IP-DPOS-2022-321-678695,Rahima Moosa Regional Hospital,12,1,"The day shift team on the day mentioned embody service excellence.  These are the type of professionals that signed an Oath and pledged that they will forever be community servants.  they have shown that ""People First"" Batho Pele Principles are in their DNA.  Thank you for such a positive attitude and energy we g to experience on the day shift, that these people were present on.  Only had a pleasant experience on the day shift slot. It is quite true that positive vibes vab off cause even the doctors are quite cool.
The following staff members are responsible for the feedback above.

Bri-Anne   Mashamba
J Davies    Sister Foetis
Mudau     Ndou
Phatali     Sister Mdluli",0.9781,"The day shift team on the day mentioned embody service excellence.  These are the type of professionals that signed an Oath and pledged that they will forever be community servants.  they have shown that ""People First"" Batho Pele Principles are in their DNA.  Thank you for such a positive attitude and energy we g to experience on the day shift, that these people were present on.  Only had a pleasant experience on the day shift slot. It is quite true that positive vibes vab off cause even the doctors are quite cool.
The following staff members are responsible for the feedback above.

Bri-Anne   Mashamba
J Davies    Sister Foetis
Mudau     Ndou
Phatali     Sister Mdluli","shift,,mashamba,on.,batho,first"",mudau,j,slot.,bri-anne,vab,dna.,g,excellence.,""people,servants.,above.,phatali,foetis,ndou,mdluli,cool."
IP-DPOS-2022-56-989763,Carletonville District Hospital,Ward 06,0.57,"He is complaining of coldness of water, window are broken,there a getting cold, since he was here he didn't bath ",-0.2023,"He is complaining of coldness of water, window are broken,there a getting cold, since he was here he didn't bath ","broken,there,water,,cold,"
IP-DPOS-2022-56-583218,Carletonville District Hospital,Ward 06,1,Good service ,0.4404,Good service ,
IP-DPOS-2022-56-633228,Carletonville District Hospital,Ward 06,0.71,Kefihlile gantle bankamogela gantle hakena ditletlebo tanke,0,Kefihlile gantle bankamoggela gantle halamena ditletlebo tanke,"ditletlebo,gantle,tanke,bankamoggela,halamena,kefihlile"
IP-DPOS-2022-56-816410,Carletonville District Hospital,Ward 06,1,I have good service ,0.4404,I have good service ,
IP-DPOS-2022-56-366809,Carletonville District Hospital,Ward 06,1,"Patient is complaining of cold water, they don't bath, and they are getting cold no Aircon at night and shortage of blanket ",-0.6124,"Patient is complaining of cold water, they don't bath, and they are getting cold no Aircon at night and shortage of blanket ","aircon,water,,bath,"
IP-DPOS-2022-56-149663,Carletonville District Hospital,Ward 06,1,"I feel good in health as in my body has no pains , but my complaint is about food and being checked.",-0.5187,"I feel good in health as in my body has no pains , but my complaint is about food and being checked.",checked.
IP-DPOS-2022-56-129043,Carletonville District Hospital,Ward 06,1,"No complain, everything is good.",-0.2023,"No complain, everything is good.","good.,complain,"
IP-DPOS-2022-56-918233,Carletonville District Hospital,Ward 06,1,Well organized ,0.2732,Well organized ,
IP-DPOS-2022-56-475856,Carletonville District Hospital,Ward 06,1,I feel good for everything and I've got good services and treatment ,0.7003,I feel good for everything and I've got good services and treatment ,
IP-DPOS-2022-398-659128,Tembisa Tertiary Hospital,Ward 08,0.86,"Comenting  the service renduced i am happy i dont have any comment at the moment so far im satisfied 
Benjammi Dludlu",0.7759,"Comenting  the service renduced i am happy i dont have any comment at the moment so far im satisfied 
Benjammi Dludlu","dludlu,comenting,benjammi,renduced"
IP-DPOS-2022-56-266432,Carletonville District Hospital,Ward 06,1,Bengichazela ngesifo ,0,Bengichazela NGESIFO,"ngesifo,bengichazela"
IP-DPOS-2022-56-895329,Carletonville District Hospital,Ward 06,0.57,"Service not good at all, water is cold and can't bath myself ",-0.3412,"Service not good at all, water is cold and can't bath myself ","all,"
IP-DPOS-2022-56-390121,Carletonville District Hospital,Ward 06,1,"No complain, feel well and comfortable for everything ",0.1779,"No complain, feel well and comfortable for everything ","complain,"
IP-DPOS-2022-56-029353,Carletonville District Hospital,Ward 06,0.71,"Everything was all ok, Sometimes please do as you told.",0.5423,"Everything was all ok, Sometimes please do as you told.","ok,,told."
IP-DPOS-2022-56-506313,Carletonville District Hospital,Ward 06,1,Ayikho ,0,Ayikho,ayikho
IP-DPOS-2022-56-061600,Carletonville District Hospital,Ward 06,1,Ga kena bothata ke thabile gore ntho tsotlhe ,0,Ga kena bothata ke thabile gore ntho tsotlhe ,"kena,tsotlhe,bothata,ntho,thabile"
IP-DPOS-2022-56-291813,Carletonville District Hospital,Ward 03,1,Phate kahle ,0,Phate Kahle,"kahle,phate"
IP-DPOS-2022-56-571424,Carletonville District Hospital,Ward 03,1,Ke khotsofetse ke tsoaro e ke thotseng mona ,0,Ke Khotsofetse ke tsoaro e ke Thotseng Mona,"thotseng,khotsofetse,tsoaro"
IP-DPOS-2022-400-093902,Thelle Mogoerane Regional Hospital,Ward 4,1,They treat us good. All we had to do wa do as the say and doctors explained everything.,0.6808,They treat us good. All we had to do wa do as the say and doctors explained everything.,"good.,everything."
IP-DPOS-2022-56-327711,Carletonville District Hospital,Ward 03,1,Cold water for bathing atleast must be warm ,0.2263,Cold water for bathing atleast must be warm ,
IP-DPOS-2022-400-628560,Thelle Mogoerane Regional Hospital,Ward 4,1,The food is not nice,-0.3252,The food is not nice,
IP-DPOS-2022-400-009416,Thelle Mogoerane Regional Hospital,Ward 4,1,I am very happy about the treatment I got here.,0.6115,I am very happy about the treatment I got here.,here.
IP-DPOS-2022-400-225270,Thelle Mogoerane Regional Hospital,Ward 4,1,The space is not available so the patient need to wait for other patient and it take hours.,0,The space is not available so the patient need to wait for other patient and it take hours.,hours.
IP-DPOS-2022-321-479417,Rahima Moosa Regional Hospital,15,1,I was very good taking off.  the nurses were always checking me wheather you are still good,0.7496,I was very good taking off.  the nurses were always checking me wheather you are still good,"wheather,off."
IP-DPOS-2022-321-825689,Rahima Moosa Regional Hospital,6,1,"Our nurses and doctors are clean and treat us with wamth love and care, ward area is also clean they answers questions with their smile on their faces. me I've loved and enjoy their services and may they continue to do this good job to others.  love them all",0.9857,"Our nurses and doctors are clean and treat us with wamth love and care, ward area is also clean they answers questions with their smile on their faces. me I've loved and enjoy their services and may they continue to do this good job to others.  love them all","care,,others.,wamth,faces."
IP-DPOS-2022-321-693162,Rahima Moosa Regional Hospital,1,1,"Yes we care because my first time coming in this hospital my baby was not moving and he was having to much flue but he is better than the morning, now I see his life is gonner be save,  so no um happy.",0.9293,"Yes we care because my first time coming in this hospital my baby was not moving and he was having to much flue but he is better than the morning, now I see his life is gonner be save,  so no um happy.","save,,happy.,morning,,gonner"
IP-DPOS-2022-321-070354,Rahima Moosa Regional Hospital,1,1,Yes we care to much my baby was very sick when um coming in this hospital but now he goes very well and um so happy for that.,0.9073,Yes we care to much my baby was very sick when um coming in this hospital but now he goes very well and um so happy for that.,that.
IP-DPOS-2022-321-326405,Rahima Moosa Regional Hospital,1,1,"I recieved a well welcome eerything is ok, They so carrying and friendly.",0.8678,"I recieved a well welcome eerything is ok, They so carrying and friendly.","recieved,eerything,friendly.,ok,"
IP-DPOS-2022-321-153066,Rahima Moosa Regional Hospital,7,1,All was well had a great experience at the hospital.,0.7351,All was well had a great experience at the hospital.,hospital.
IP-DPOS-2022-321-049791,Rahima Moosa Regional Hospital,7,0.86,"Nurses are not all the same there some are very assisting and others are just quiet, but when you seek help they do help, but overall since I am being here from yesterday I am being treated well no bad comment",0.296,"Nurses are not all the same there some are very assisting and others are just quiet, but when you seek help they do help, but overall since I am being here from yesterday I am being treated well no bad comment","help,,quiet,"
IP-DPOS-2022-321-414457,Rahima Moosa Regional Hospital,12,1,"Doctors, nurses, sisters, cleaners, cooks they must keep up the good work thanks so much.",0.7003,"Doctors, nurses, sisters, cleaners, cooks they must keep up the good work thanks so much.","sisters,,much.,cleaners,,nurses,,doctors,"
IP-DPOS-2022-321-439959,Rahima Moosa Regional Hospital,12,0.71,We had educational class about caring for  ourselves and child which is too much helpful.,0.7184,We had educational class about caring for  ourselves and child which is too much helpful.,helpful.
IP-DPOS-2022-321-856225,Rahima Moosa Regional Hospital,7,1,Health workers are oservant of every situation taking place.,0,Health workers are oservant of every situation taking place.,"place.,oservant"
IP-DPOS-2022-321-296874,Rahima Moosa Regional Hospital,7,0,"The nurses are very kind, they treat us very well. Eveyday they give us food and medicines in time. Our ward is very clean including beds, toilets, and floor.",0.901,"The nurses are very kind, they treat us very well. Eveyday they give us food and medicines in time. Our ward is very clean including beds, toilets, and floor.","toilets,,time.,beds,,eveyday,kind,,well.,floor."
IP-DPOS-2022-400-352904,Thelle Mogoerane Regional Hospital,Ward 4,1,"There was no toilet paper at the toilet, they must check toilet frequently.",-0.296,"There was no toilet paper at the toilet, they must check toilet frequently.","toilet,,frequently."
IP-DPOS-2022-321-239519,Rahima Moosa Regional Hospital,7,0.86,All I can say is there are good and caring people. They teach us with great respect.,0.9231,All I can say is there are good and caring people. They teach us with great respect.,"respect.,people."
IP-DPOS-2022-400-225496,Thelle Mogoerane Regional Hospital,Ward 4,1,We were treatwed well.,0.2732,We were treatwed well.,"treatwed,well."
IP-DPOS-2022-321-745107,Rahima Moosa Regional Hospital,7,1,All the nurses are sweet and friendly. They are really patient and always ensures that we are happy and well taken care of. Big ups to all he nurses.,0.9349,All the nurses are sweet and friendly. They are really patient and always ensures that we are happy and well taken care of. Big ups to all he nurses.,"nurses.,of.,friendly."
IP-DPOS-2022-400-820480,Thelle Mogoerane Regional Hospital,Ward 4,1,I was treated well and they gave eclear instructions.,0.2732,I was treated well and they gave eclear instructions.,"eclear,instructions."
IP-DPOS-2022-321-994120,Rahima Moosa Regional Hospital,7,1,All the services are good complain. The doctors are always there if you need help. They know how t treat patients well.,0.7845,All the services are good complain. The doctors are always there if you need help. They know how t treat patients well.,"help.,complain.,t,well."
IP-DPOS-2022-400-739909,Thelle Mogoerane Regional Hospital,Ward 4,1,I was treated well.,0.2732,I was treated well.,well.
IP-DPOS-2022-400-597500,Thelle Mogoerane Regional Hospital,Ward 18 (Gynaecology),1,Soetimes the food comes cold,0,Soetimes the food comes cold,soetimes
IP-DPOS-2022-321-997099,Rahima Moosa Regional Hospital,Labour ward,1,The nurses did check us on time and give us all the attention.,0,The nurses did check us on time and give us all the attention.,attention.
IP-DPOS-2022-321-940583,Rahima Moosa Regional Hospital,14,1,Yes beause everything was good and they were helping so much I am happy with this hospital.,0.8948,Yes beause everything was good and they were helping so much I am happy with this hospital.,hospital.
IP-DPOS-2022-321-022800,Rahima Moosa Regional Hospital,7,1,But sometimes the toilets are dirty and the water bis cold.,-0.5927,But sometimes the toilets are dirty and the water bis cold.,cold.
IP-DPOS-2022-321-330207,Rahima Moosa Regional Hospital,7,1,"The doctors and nurses they do save you when you need anything and answer  to your questions when asked. The attitude due to the patient and nurses is not good, they have to maintain on that but beside that they know how to treat their patients.",0.6055,"The doctors and nurses they do save you when you need anything and answer  to your questions when asked. The attitude due to the patient and nurses is not good, they have to maintain on that but beside that they know how to treat their patients.","good,,asked.,patients."
IP-DPOS-2022-321-510728,Rahima Moosa Regional Hospital,12,0.86,The staff was always friendly and made you feel relaxed.,0.7506,The staff was always friendly and made you feel relaxed.,relaxed.
IP-DPOS-2022-321-279426,Rahima Moosa Regional Hospital,POPD,1,The service is very satisfying and thye health workers are kind and helpful. Very educaational and informative.,0.8588,The service is very satisfying and thye health workers are kind and helpful. Very educaational and informative.,"educaational,thye,helpful.,informative."
IP-DPOS-2022-321-018613,Rahima Moosa Regional Hospital,6,1,"The bathrooms are not entirily clean but I believe it is our own doing. The nurses are friendly, the food sometime comes late.",0.5677,"The bathrooms are not entirily clean but I believe it is our own doing. The nurses are friendly, the food sometime comes late.","entirily,friendly,,doing.,late."
IP-DPOS-2022-321-946720,Rahima Moosa Regional Hospital,6,1,"The bathrooms are not entirely clean bur I believe it is our own doing. The nurses are friendly, The food sometimes comes late.",0.184,"The bathrooms are not entirely clean bur I believe it is our own doing. The nurses are friendly, The food sometimes comes late.","friendly,,doing.,late."
IP-DPOS-2022-321-186416,Rahima Moosa Regional Hospital,ANC,0.86,"Doctors delayed to come, no enough chairs for pregnant lady standing long time.",-0.4767,"Doctors delayed to come, no enough chairs for pregnant lady standing long time.","time.,come,"
IP-DPOS-2022-321-003646,Rahima Moosa Regional Hospital,ANC,1,"Everything is in order no complains, the service is great, the facility is clean also the service is good.",0.7096,"Everything is in order no complains, the service is great, the facility is clean also the service is good.","complains,,great,,good."
IP-DPOS-2022-321-356739,Rahima Moosa Regional Hospital,6,1,Best hospital ever. I never had of any cases. All I can say I am so happy with the service I get and the staff are always happy.,0.9401,Best hospital ever. I never had of any cases. All I can say I am so happy with the service I get and the staff are always happy.,"cases.,happy.,ever."
IP-DPOS-2022-321-941811,Rahima Moosa Regional Hospital,7,1,They have been taking very good care on me and my baby.,0.7698,They have been taking very good care on me and my baby.,baby.
IP-DPOS-2022-321-362573,Rahima Moosa Regional Hospital,7,1,I had the best care from the doctors and nurses and given health meals on time. Also medication given on time clean enviroment.,0.8779,I had the best care from the doctors and nurses and given health meals on time. Also medication given on time clean enviroment.,"enviroment.,time."
IP-DPOS-2022-321-702391,Rahima Moosa Regional Hospital,4,0.57,"Please start doing things on time nothing happens on time, not food or medication, when a doctor is needed it take forever or at times drastic measures before the issue is resolved, I understand there is a lot of patients but they should be enough nurses and doctors required for the number of beds available these are my main issues. I feel need be attended before. I come back to this hospital again and their nice and cocroaches running around.",0.7311,"Please start doing things on time nothing happens on time, not food or medication, when a doctor is needed it take forever or at times drastic measures before the issue is resolved, I understand there is a lot of patients but they should be enough nurses and doctors required for the number of beds available these are my main issues. I feel need be attended before. I come back to this hospital again and their nice and cocroaches running around.","issues.,around.,time,,resolved,,before.,medication,,cocroaches"
IP-DPOS-2022-321-626434,Rahima Moosa Regional Hospital,4,1,"I would like to thank all the nurses and doctors for their excellent and proffesional service, they have been nothing but good with my stay here",0.1879,"I would like to thank all the nurses and doctors for their excellent and proffesional service, they have been nothing but good with my stay here","service,,proffesional"
IP-DPOS-2022-321-802083,Rahima Moosa Regional Hospital,4,1,Best treatment on both night and day shift. The nurses were very friendly and caring. The ward was always clean and the toilets. The nurses gave medicine and food on time. The ward was warm and hot water was available. Thank you nurses of ward 4,0.9535,Best treatment on both night and day shift. The nurses were very friendly and caring. The ward was always clean and the toilets. The nurses gave medicine and food on time. The ward was warm and hot water was available. Thank you nurses of ward 4,"shift.,time.,caring.,available.,toilets."
IP-DPOS-2022-321-559954,Rahima Moosa Regional Hospital,4,1,"I appreciate the fact that we as mothers we are allowed to be next to our babies while they are in the hospital. The doctors and nurses are very kind and have patience to explain things to make us understand the stuation on the ground and what is to be done in order for the baby to get well. Nevertheless it will be nice if we are provided with sleeper couches, it would realy be helpful to avoid having sleeples nights and getting back pains while we are in horrible times of the babies illness.",0.4391,"I appreciate the fact that we as mothers we are allowed to be next to our babies while they are in the hospital. The doctors and nurses are very kind and have patience to explain things to make us understand the stuation on the ground and what is to be done in order for the baby to get well. Nevertheless it will be nice if we are provided with sleeper couches, it would realy be helpful to avoid having sleeples nights and getting back pains while we are in horrible times of the babies illness.","illness.,realy,sleeples,stuation,well.,couches,,hospital."
IP-DPOS-2022-321-218030,Rahima Moosa Regional Hospital,4,1,There is a serious cockroach problem in the ward and there are mice as well. Kindly consider funnigation.,0.3182,There is a serious cockroach problem in the ward and there are mice as well. Kindly consider funnigation.,"funnigation.,well."
IP-DPOS-2022-321-872366,Rahima Moosa Regional Hospital,4,1,Please do fumigate the ward ASAP there are rats running around.,0.3182,Please do fumigate the ward ASAP there are rats running around.,around.
IP-DPOS-2022-398-519689,Tembisa Tertiary Hospital,Ward 19,1,We happy with there simphilie,0.5719,We happy with there simphilie,simphilie
IP-DPOS-2022-398-532930,Tembisa Tertiary Hospital,Ward 19,1,Happy,0.5719,Happy,
IP-DPOS-2022-321-280006,Rahima Moosa Regional Hospital,4,1,Main consent the cockroaches and the aints the should be insets protector. Nurses and doctors are helpful and  have humanity just the casuality side they so rude and its risky for kids to be sent of without proper check-ups. Words nurses and doctors keep it up well done we feel our kids are in good and safe place.,0.7126,Main consent the cockroaches and the aints the should be insets protector. Nurses and doctors are helpful and  have humanity just the casuality side they so rude and its risky for kids to be sent of without proper check-ups. Words nurses and doctors keep it up well done we feel our kids are in good and safe place.,"casuality,aints,check-ups.,place.,insets,protector."
IP-DPOS-2022-398-520182,Tembisa Tertiary Hospital,Ward 19,1,I've been well taken care of,0.6486,I've Been Well Tasks Care of,
IP-DPOS-2022-398-416598,Tembisa Tertiary Hospital,Ward 19,1,Bantswere hantle mo hospital ke thabile ,0,Bantswere hantle mo hospital ke thabile ,"hantle,bantswere,thabile"
IP-DPOS-2022-398-517976,Tembisa Tertiary Hospital,Ward 19,1,Bangiphethi kahle ndiyabonga ,0,Bangiphethi kahle ndiyabonga,"kahle,bangiphethi,ndiyabonga"
IP-DPOS-2022-398-232630,Tembisa Tertiary Hospital,Ward 09,1,"Everything went well ,day and night shift they were doing great job!!!",0.795,"Everything went well ,day and night shift they were doing great job!!!","job!!!,,day"
IP-DPOS-2022-321-589430,Rahima Moosa Regional Hospital,4,1,"I the grandfather of liqhawe 12/04/21 Malinga 9 came on Rahima Moosa with the almost sickness child of my daughter he was too much sick, very sick to death with diarhia vomit and rush in his private part and the child situation was worse he was breathing very heavily.",-0.9308,"I the grandfather of liqhawe 12/04/21 Malinga 9 came on Rahima Moosa with the almost sickness child of my daughter he was too much sick, very sick to death with diarhia vomit and rush in his private part and the child situation was worse he was breathing very heavily.","malinga,liqhawe,rahima,12/04/21,diarhia,sick,,moosa,heavily."
IP-DPOS-2022-321-924023,Rahima Moosa Regional Hospital,4,1,Well pleased with the service I got from ward 4 I cant complain I am happy about everythinh. Thank you.,0.682,Well pleased with the service I got from ward 4 I cant complain I am happy about everythinh. Thank you.,"you.,everythinh."
IP-DPOS-2022-321-992085,Rahima Moosa Regional Hospital,4,1,I was satisfied with the services that I get thanks.,0.6908,I was satisfied with the services that I get thanks.,thanks.
IP-DPOS-2022-398-502710,Tembisa Tertiary Hospital,Ward 09,1,"I am gland that they relocated me to Tembisa  Hospital ,for my first time visiting the hospital, I'd say it's a good experince that i will never forgey and Thankful for their hospitality.",-0.0253,"I am gland that they relocated me to Tembisa  Hospital ,for my first time visiting the hospital, I'd say it's a good experince that i will never forgey and Thankful for their hospitality.","forgey,hospital,,experince,hospitality.,,for,tembisa"
IP-DPOS-2022-398-605691,Tembisa Tertiary Hospital,Ward 09,1,Keep it up guys,0,Keep it up guys,
IP-DPOS-2022-398-179738,Tembisa Tertiary Hospital,Ward 09,1,keep up the good services,0.4404,keep up the good services,
IP-DPOS-2022-56-298977,Carletonville District Hospital,Ward 06,1,Complain of the cold water in the bathroom ,-0.3612,Complain of the cold water in the bathroom ,
IP-DPOS-2022-56-006539,Carletonville District Hospital,Ward 06,1,No complain be raised.,-0.5719,No complain be raised.,raised.
IP-DPOS-2022-321-626855,Rahima Moosa Regional Hospital,1,1,"I am called Gillian Fortibah my baby was been admited into ward one on the 13 of June 2022 for jundice when I walked in   I was been recieved by sis Qubula who welcomed me and showed me where to put my baby. She was so welcoming there by going as far as showing me where the ward bathroom are where to dispose of my babies napies when demand it, where to wash my hands, where to get new napies for the baby, how to wash my baby when breakfast , lunch and supper are been taken. She even went as far as encouraging me to express milk from my breast as said by the doctor so as to know the quality of milk I can produce well done sisters keep the hard work and good spirit up. Thanks.",0.9455,"I am called Gillian Fortibah my baby was been admited into ward one on the 13 of June 2022 for jundice when I walked in   I was been recieved by sis Qubula who welcomed me and showed me where to put my baby. She was so welcoming there by going as far as showing me where the ward bathroom are where to dispose of my babies napies when demand it, where to wash my hands, where to get new napies for the baby, how to wash my baby when breakfast , lunch and supper are been taken. She even went as far as encouraging me to express milk from my breast as said by the doctor so as to know the quality of milk I can produce well done sisters keep the hard work and good spirit up. Thanks.","jundice,baby,,recieved,thanks.,napies,fortibah,baby.,admited,it,,hands,,taken.,up.,qubula"
IP-DPOS-2022-398-726092,Tembisa Tertiary Hospital,Ward 09,0.57,The service we receive from from the doctors is very excellent but when it comes to the point were we have to get food they just have bad attitude to us,-0.5029,The service we receive from from the doctors is very excellent but when it comes to the point were we have to get food they just have bad attitude to us,
IP-DPOS-2022-56-399608,Carletonville District Hospital,Ward 06,1,Ke raised no complain ,-0.5719,Ke raised no complain ,
IP-DPOS-2022-56-677327,Carletonville District Hospital,Ward 06,1,Complain of no linen in the ward and broken windows ,-0.7783,Complain of no linen in the ward and broken windows ,
IP-DPOS-2022-398-278870,Tembisa Tertiary Hospital,Ward 09,1,Yes,0.4019,Yes,
IP-DPOS-2022-56-979479,Carletonville District Hospital,Ward 06,1,Complain of cold water in the bathroom and sharing of linen.,0.0772,Complain of cold water in the bathroom and sharing of linen.,linen.
IP-DPOS-2022-56-456381,Carletonville District Hospital,Ward 06,1,Raised a complain of cold water in the bathroom.,-0.3612,Raised a complain of cold water in the bathroom.,bathroom.
