﻿system_reference_number,facility_name,unit_name_and_description,form_score,patient_comments,Sentiment Score,Translated Text,Misspelled Words
OP-DPOS-2023-398-141365,Tembisa Tertiary Hospital,SOPD,1,The staff were friendly and they informed us with smile keep it up.,0.6908,The staff were friendly and they informed us with smile keep it up.,up.
OP-DPOS-2023-398-866944,Tembisa Tertiary Hospital,SOPD,1,My comment is when you dont have a money to pay they sometimes not believe you they end up delaying you. My consen is they support to inform us about polistation affidavit because most of us we dont know about affidavit we end up getting the information to wrong persons.,-0.2023,My comment is when you dont have a money to pay they sometimes not believe you they end up delaying you. My consen is they support to inform us about polistation affidavit because most of us we dont know about affidavit we end up getting the information to wrong persons.,"persons.,polistation,you.,consen"
OP-DPOS-2023-398-358833,Tembisa Tertiary Hospital,SOPD,1,Till so far everything is Good.,0.4404,Till so far everything is Good.,good.
OP-DPOS-2023-398-289750,Tembisa Tertiary Hospital,SOPD,1,Thank you for all the care that you have given me & my on for the past 4 years you have maid sure that I was always given the best care available your compassionate attation and professional care saved my son's feet there are not enough words for me to Express my appreciation.,0.9796,Thank you for all the care that you have given me & my on for the past 4 years you have maid sure that I was always given the best care available your compassionate attation and professional care saved my son's feet there are not enough words for me to Express my appreciation.,"appreciation.,attation"
OP-DPOS-2023-398-160591,Tembisa Tertiary Hospital,SOPD,1,Eversince I was admitted in the ward and discharged the service in the hospital has been amazing. The doctors and nurses are so sweet and very friendly. They know their work. I am very happy about everything.,0.9481,Eversince I was admitted in the ward and discharged the service in the hospital has been amazing. The doctors and nurses are so sweet and very friendly. They know their work. I am very happy about everything.,"work.,everything.,amazing.,friendly."
OP-DPOS-2023-398-755182,Tembisa Tertiary Hospital,SOPD,1,TEMBISA HOSPITAL SERVICES ARE GOOD MY ONLY COMMENT IS AT PHARMACY WHENEVER THEY ARE OUT OF STOCK THEY DONT TELL/EXPLAIN TO THE PATIENT THEY JUST GIVE MEDICINE WITHOUT INFORMING THE PATIENT THEY ARE OUT OF STOCK. OLDER PEOPLE WHO CAN'T READ JUST GO HOME WITH MEDICINE THAT SHORT & WERE NOT TOLD BY THE PHARMACIST.,0.4404,TEMBISA HOSPITAL SERVICES ARE GOOD MY ONLY COMMENT IS AT PHARMACY WHENEVER THEY ARE OUT OF STOCK THEY DONT TELL/EXPLAIN TO THE PATIENT THEY JUST GIVE MEDICINE WITHOUT INFORMING THE PATIENT THEY ARE OUT OF STOCK. OLDER PEOPLE WHO CAN'T READ JUST GO HOME WITH MEDICINE THAT SHORT & WERE NOT TOLD BY THE PHARMACIST.,"tembisa,stock.,pharmacist.,tell/explain"
OP-DPOS-2023-398-669950,Tembisa Tertiary Hospital,SOPD,0.83,Respect and integrity to the patient and have (give) more time when they asked for something they dont know (patient night's is very important),0.6908,Respect and integrity to the patient and have (give) more time when they asked for something they dont know (patient night's is very important),"important),(give),(patient"
OP-DPOS-2023-398-631929,Tembisa Tertiary Hospital,SOPD,1,"Excellent, the doctors and nurses take a good care on their patients",0.8689,"Excellent, the doctors and nurses take a good care on their patients","excellent,"
OP-DPOS-2023-398-390410,Tembisa Tertiary Hospital,SOPD,1,THE PHARMACY IS VERY EFFICIANT,0.4754,The Pharmacy is very efficient,
OP-DPOS-2023-398-512047,Tembisa Tertiary Hospital,SOPD,1,We happy about our hospital. It is helpful to us thanks.,0.8555,We happy about our hospital. It is helpful to us thanks.,"thanks.,hospital."
OP-DPOS-2023-398-944987,Tembisa Tertiary Hospital,SOPD,1,"I agree with the statements above and fully happy as a patient.
I am saticfied about how the doctors treated me and the medication I have received really helped me a lot.",0.7574,"I agree with the statements above and fully happy as a patient.
I am saticfied about how the doctors treated me and the medication I have received really helped me a lot.","patient.,lot.,saticfied"
OP-DPOS-2023-398-391245,Tembisa Tertiary Hospital,MOPD,1,The service is always accomodating,0.0,The service is always accomodating,accomodating
OP-DPOS-2023-398-651096,Tembisa Tertiary Hospital,Psychology,0.89,"I am grateful to have been provided with a safe space, where my well-being is being prioritised without any discrimination or bias. I am happy with the psychology sessions I have had.
The psychiattists however, I feel as though I am not even condidered as a patient and they do not seem interested most of the time.",0.7871,"I am grateful to have been provided with a safe space, where my well-being is being prioritised without any discrimination or bias. I am happy with the psychology sessions I have had.
The psychiattists however, I feel as though I am not even condidered as a patient and they do not seem interested most of the time.","time.,had.,condidered,prioritised,space,,however,,psychiattists,bias.,well-being"
OP-DPOS-2023-398-118390,Tembisa Tertiary Hospital,SOPD,1,It is for the first time to use this hospital but I've never seen anything wrong or being ill-treated. The nurses and doctors have been nce. The only problem is the toilets the cleaners don't use disinfectant. They don't smell nice and not that clean. And the walls are dirty. No place to change baby nappies. Some the staff don't have name tags.,-0.9145,It is for the first time to use this hospital but I've never seen anything wrong or being ill-treated. The nurses and doctors have been nce. The only problem is the toilets the cleaners don't use disinfectant. They don't smell nice and not that clean. And the walls are dirty. No place to change baby nappies. Some the staff don't have name tags.,"nce.,disinfectant.,tags.,ill-treated.,nappies.,dirty.,clean."
OP-DPOS-2023-398-763537,Tembisa Tertiary Hospital,SOPD,1,everything went well accordily and the nurses were friendly towards us. ,0.6486,everything went well accordily and the nurses were friendly towards us. ,"us.,accordily"
OP-DPOS-2023-398-515383,Tembisa Tertiary Hospital,SOPD,1,SOPD currently is prefect and clean and the communication with our nurses is very prefect and really respect the patient ,0.7264,SOPD currently is prefect and clean and the communication with our nurses is very prefect and really respect the patient ,sopd
OP-DPOS-2023-398-772860,Tembisa Tertiary Hospital,SOPD,1,"Is difficult to pay every visit when we come to the hopital, especially unemployet patients",-0.4404,"Is difficult to pay every visit when we come to the hopital, especially unemployet patients","unemployet,hopital,"
OP-DPOS-2023-398-783095,Tembisa Tertiary Hospital,SOPD,1,So far now comment everything is well and the work is expected all employed are treating us with respect. ,0.6369,So far now comment everything is well and the work is expected all employed are treating us with respect. ,respect.
OP-DPOS-2023-398-345604,Tembisa Tertiary Hospital,SOPD,1,"i am happy with everything , nothing to  complain about. Thanks ",0.8276,"i am happy with everything , nothing to  complain about. Thanks ",about.
OP-DPOS-2023-398-850720,Tembisa Tertiary Hospital,SOPD,1,Doctors and nurses always treat patient as priority and they are doing their effeciently ,0.4019,Doctors and nurses always treat patient as priority and they are doing their effeciently ,effeciently
OP-DPOS-2023-398-248377,Tembisa Tertiary Hospital,SOPD,1,"The service was very good they took a good care of us from the moment we came in the morning 
I think they must have numbers on the chairs and when we come n they must also give us numbers to avoid confussion when we go to pay and coming back.",0.7897,"The service was very good they took a good care of us from the moment we came in the morning 
I think they must have numbers on the chairs and when we come n they must also give us numbers to avoid confussion when we go to pay and coming back.","n,confussion,back."
OP-DPOS-2023-398-593627,Tembisa Tertiary Hospital,SOPD,1,"it is a bit of challenge to tick both points under patient education part to seeing the doctors, i think it is better to complete the form after you are done.",0.4939,"it is a bit of challenge to tick both points under patient education part to seeing the doctors, i think it is better to complete the form after you are done.","doctors,,done."
OP-DPOS-2023-398-989729,Tembisa Tertiary Hospital,SOPD,1,i love the way they communcate with us and how they make our  kids happy May the Lord Bless them everyday,0.8934,i love the way they communcate with us and how they make our  kids happy May the Lord Bless them everyday,communcate
OP-DPOS-2023-398-300573,Tembisa Tertiary Hospital,SOPD,1,"Nurses to start work in time
No information were to go on arrival ",-0.296,"Nurses to start work in time
No information were to go on arrival ",
OP-DPOS-2023-398-248812,Tembisa Tertiary Hospital,SOPD,1,All the nurses here are clean and take gtood care for us. They talk to us with respect and they give us a good derection on ho to handle ou self towards other people ,0.8979,All the nurses here are clean and take gtood care for us. They talk to us with respect and they give us a good derection on ho to handle ou self towards other people ,"gtood,us.,derection"
OP-DPOS-2023-398-007749,Tembisa Tertiary Hospital,SOPD,1,"1. Improve your attitude 
2.improve yur puntality 
3. be visible to all patient with respect and dignity, clarify information with patients and care show determination and humanity ",0.9274,"1. Improve your attitude 
2.improve yur puntality 
3. be visible to all patient with respect and dignity, clarify information with patients and care show determination and humanity ","puntality,dignity,,2.improve"
OP-DPOS-2023-398-933893,Tembisa Tertiary Hospital,SOPD,0.94,The hospital  must hire more doctors ad nurses ,0.0,The hospital  must hire more doctors ad nurses ,
OP-DPOS-2023-398-195186,Tembisa Tertiary Hospital,SOPD,0.89,"i don't have problem with SOPD ward however i would suggest the hospital to improve at cauallty ward as i previosly experinced bad service at the department, the ward is dirty, smelly and nightshift nurses was rude. Patient were sitting on chairs with drips and on pain. but no one cared . I belive that the hospital needs to be renovated.",-0.435,"i don't have problem with SOPD ward however i would suggest the hospital to improve at cauallty ward as i previosly experinced bad service at the department, the ward is dirty, smelly and nightshift nurses was rude. Patient were sitting on chairs with drips and on pain. but no one cared . I belive that the hospital needs to be renovated.","previosly,belive,dirty,,renovated.,sopd,experinced,pain.,cauallty,rude.,department,"
OP-DPOS-2023-398-002539,Tembisa Tertiary Hospital,SOPD,1,"i was  ward 16 for 2 weeks. The medical service was excellent. came to SOPD for follow up visits , staff was frendly and very helpfull. best service 
and best care",0.9506,"i was  ward 16 for 2 weeks. The medical service was excellent. came to SOPD for follow up visits , staff was frendly and very helpfull. best service 
and best care","weeks.,sopd,frendly,excellent.,helpfull."
OP-DPOS-2023-398-669049,Tembisa Tertiary Hospital,SOPD,0.72,Tembisa Hospital we pay too muh for   file and we pay almosy every visit ,-0.2023,Tembisa Hospital we pay too muh for   file and we pay almosy every visit ,"tembisa,almosy,muh"
OP-DPOS-2023-398-495267,Tembisa Tertiary Hospital,SOPD,1,"The service at the main reception is poor. we often have to ask other patients where to collect files and steps to be followed. The SOPD clinic has friendly staff members who are willing to work with oatients. The cleaners of the hospital has improved a lot.  The toilets by pharmcy are damaged yet there is no sign tht they out of order. we are happy that there are a lot of young Doctors at family ediciene however it would be nice if they work under supervision , they rely on google to diagnose.
",0.6808,"The service at the main reception is poor. we often have to ask other patients where to collect files and steps to be followed. The SOPD clinic has friendly staff members who are willing to work with oatients. The cleaners of the hospital has improved a lot.  The toilets by pharmcy are damaged yet there is no sign tht they out of order. we are happy that there are a lot of young Doctors at family ediciene however it would be nice if they work under supervision , they rely on google to diagnose.
","order.,pharmcy,diagnose.,sopd,poor.,tht,followed.,oatients.,lot.,ediciene"
OP-DPOS-2023-398-829430,Tembisa Tertiary Hospital,SOPD,0.94,"1. Not all of the healthcare workers are the same when it comes to education , but the learning is pursing to all of them.
2. commitment is there to akk health are workers 
.
i suggest that healthcare workers wokrds to be patinet and contiune to tr=each patient about health. ",0.5267,"1. Not all of the healthcare workers are the same when it comes to education , but the learning is pursing to all of them.
2. commitment is there to akk health are workers 
.
i suggest that healthcare workers wokrds to be patinet and contiune to tr=each patient about health. ","tr=each,patinet,akk,contiune,health.,them.,wokrds"
OP-DPOS-2023-398-578742,Tembisa Tertiary Hospital,SOPD,1,Please fix the lights in the male toilets,0.3182,Please fix the lights in the male toilets,
OP-DPOS-2023-398-314594,Tembisa Tertiary Hospital,SOPD,1,I think there should be a chashier in every clinic there should be a notice board explaining the days that a certain clinic is attendent.,0.2732,I think there should be a chashier in every clinic there should be a notice board explaining the days that a certain clinic is attendent.,"chashier,attendent."
OP-DPOS-2023-398-363276,Tembisa Tertiary Hospital,SOPD,1,Its my second time at SOPD clinic and I am happy with the treatment please keep it up the good works.,0.836,Its my second time at SOPD clinic and I am happy with the treatment please keep it up the good works.,"sopd,works."
OP-DPOS-2023-398-777199,Tembisa Tertiary Hospital,SOPD,1,"I suggest that since we have given dates can we please get our files ready in the SOPD, so we don't wait for long.",0.5859,"I suggest that since we have given dates can we please get our files ready in the SOPD, so we don't wait for long.","long.,sopd,"
OP-DPOS-2023-398-585805,Tembisa Tertiary Hospital,SOPD,1,The hospital  has now improved from worse so way better inters of cleaness also the employer are very handsful they put people first in everything.,0.4902,The hospital  has now improved from worse so way better inters of cleaness also the employer are very handsful they put people first in everything.,"handsful,cleaness,everything.,inters"
OP-DPOS-2023-398-032221,Tembisa Tertiary Hospital,SOPD,1,"I would like to give applause to Tembisa hospital to the nurses and doctors and all the management at large. It has changed a lot compared to years before. They treat patients with smile and kind. Even if you don't have the money to pay your hospital bills, they understand and give you your medication and treated with kind. I would like to say keep it up!! TEMBISA HOSPITAL and continue saving people's life. I thank you!!",0.9685,"I would like to give applause to Tembisa hospital to the nurses and doctors and all the management at large. It has changed a lot compared to years before. They treat patients with smile and kind. Even if you don't have the money to pay your hospital bills, they understand and give you your medication and treated with kind. I would like to say keep it up!! TEMBISA HOSPITAL and continue saving people's life. I thank you!!","tembisa,kind.,you!!,before.,up!!,life.,bills,,large."
OP-DPOS-2023-149-381205,Heidelberg District Hospital,EYE CLINIC,1,Friendly Staff,0.4939,Friendly Staff,
OP-DPOS-2023-314-379741,Pretoria West District Hospital,Faranani (Art Clinic),1,I wish everyone working in this hospital can be friendly and sharing information. ,0.8271,I wish everyone working in this hospital can be friendly and sharing information. ,information.
OP-DPOS-2023-314-889926,Pretoria West District Hospital,Faranani (Art Clinic),1,Always welcoming with a smile and a good service.,0.8074,Always welcoming with a smile and a good service.,service.
OP-DPOS-2023-314-412299,Pretoria West District Hospital,Faranani (Art Clinic),1,"Healthcare workers are very supportive, friendl and always care about patients wellbeing.",0.6901,"Healthcare workers are very supportive, friendl and always care about patients wellbeing.","friendl,supportive,,wellbeing."
OP-DPOS-2023-314-658960,Pretoria West District Hospital,Antenatal Clinic,1,No CoThe sisters were so kind and lovely,0.8036,No CoThe sisters were so kind and lovely,cothe
OP-DPOS-2023-314-010056,Pretoria West District Hospital,Antenatal Clinic,1,"I am very impressed with the service, it was good.",0.7425,"I am very impressed with the service, it was good.","good.,service,"
OP-DPOS-2023-314-784456,Pretoria West District Hospital,Antenatal Clinic,1,I'm happy about everything.,0.5719,I'm happy about everything.,everything.
OP-DPOS-2023-57-100071,Charlotte Maxeke Academic Hospital,Premature low care,1,"Everything was well explained to me about my baby's condition.  Nurses were helpful.  I am clear with all the steps that will follow from here. Nurses gave me my baby was well looked after. He is clean, feeding goes well.  I also see progress and am positive that my baby will be discharged soon since he is getting all the help he needs.  I am happy with everything for me there is nothing to be improved. 
Thank you. ",0.9754,"Everything was well explained to me about my baby's condition.  Nurses were helpful.  I am clear with all the steps that will follow from here. Nurses gave me my baby was well looked after. He is clean, feeding goes well.  I also see progress and am positive that my baby will be discharged soon since he is getting all the help he needs.  I am happy with everything for me there is nothing to be improved. 
Thank you. ","condition.,you.,here.,improved.,clean,,well.,needs.,after.,helpful."
OP-DPOS-2023-57-986875,Charlotte Maxeke Academic Hospital,Premature low care,1,I was welcome in 389 with a good smile  by the sisters. I am very happy to see my child improving each and every day. The environment was clean. ,0.9509,I was welcome in 389 with a good smile  by the sisters. I am very happy to see my child improving each and every day. The environment was clean. ,"sisters.,clean.,day."
OP-DPOS-2023-57-353813,Charlotte Maxeke Academic Hospital,Premature low care,1,Everything is okay ,0.2263,Everything is okay,
OP-DPOS-2023-57-939409,Charlotte Maxeke Academic Hospital,Premature low care,1,"Ngiphatheke kahle, ba ngigadele kahle umntwanami. Bengimfica e suthi njalo mangizombona, ubehlezi e warm engakhali",0.2263,"Ngiphatheke Kahle, Ba Ngigadele Kahle Umntwanami.BengimFica e Suthi Njalo Mangizombona, Ubehlezi e Warm Engakhali","kahle,,ubehlezi,engakhali,umntwanami.bengimfica,suthi,kahle,ngiphatheke,njalo,mangizombona,,ngigadele"
OP-DPOS-2023-57-705582,Charlotte Maxeke Academic Hospital,Premature low care,1,All was good. ,0.4404,All Was Good.,good.
OP-DPOS-2023-57-569103,Charlotte Maxeke Academic Hospital,Premature low care,1,The sister was not so friendly and gave me an unwelcoming attitude when I asked her the questions. Though she greeted me so well but didn't want it when I asked questions ,-0.0617,The sister was not so friendly and gave me an unwelcoming attitude when I asked her the questions. Though she greeted me so well but didn't want it when I asked questions ,questions.
OP-DPOS-2023-57-378885,Charlotte Maxeke Academic Hospital,Ward 256 POPD,1,NIL,0.0,Nil,
OP-DPOS-2023-57-948826,Charlotte Maxeke Academic Hospital,Ward 256 POPD,1,"I DONT HAVE MUCH TO COMPLAIN, EVERYTHING I HAVE SEEN IS WELL EXPLAINED AND I'M HAPPY ABOUT THAT. ",0.5106,"I DONT HAVE MUCH TO COMPLAIN, EVERYTHING I HAVE SEEN IS WELL EXPLAINED AND I'M HAPPY ABOUT THAT. ","complain,,that."
OP-DPOS-2023-149-818517,Heidelberg District Hospital,PHYSIO,0.61,EXCERSISES TO BE DONE PER TREATMENT,0.0,EXCERSISES TO BE DONE PER TREATMENT,excersises
OP-DPOS-2023-367-059540,Sizwe Tropical Disease Hospital,OPD,1,"Best hospital ever we never wait for so long. Evrything is explaind to us accordily and the hospital is very clean. I am rating their service as excellent. Even at the pharmacy we dont wait so long for our medication maythey keep it up with their best service, Thank you.",0.9558,"Best hospital ever we never wait for so long. Evrything is explaind to us accordily and the hospital is very clean. I am rating their service as excellent. Even at the pharmacy we dont wait so long for our medication maythey keep it up with their best service, Thank you.","you.,evrything,excellent.,service,,explaind,maythey,long.,accordily,clean."
OP-DPOS-2023-367-074972,Sizwe Tropical Disease Hospital,OPD,1,Im happy about the staff and the treatment Im getting in my every visit.,0.5719,Im happy about the staff and the treatment Im getting in my every visit.,visit.
OP-DPOS-2023-367-626649,Sizwe Tropical Disease Hospital,OPD,1,Everything is on point and the nurses are kind,0.5267,Everything is on point and the nurses are kind,
OP-DPOS-2023-367-996156,Sizwe Tropical Disease Hospital,OPD,1,Since I was at Sizwe the nurses well talking to usexplain everything we must know about likr drinking the pills wear musk to protect me and other people. Today IM the good because of them by listining to them.,0.765,Since I was at Sizwe the nurses well talking to usexplain everything we must know about likr drinking the pills wear musk to protect me and other people. Today IM the good because of them by listining to them.,"likr,people.,listining,them.,sizwe,usexplain"
OP-DPOS-2023-367-744239,Sizwe Tropical Disease Hospital,OPD,1,Well done,0.2732,Well Done,
OP-DPOS-2023-367-037219,Sizwe Tropical Disease Hospital,OPD,1,All is well,0.2732,All is well,
OP-DPOS-2023-367-705176,Sizwe Tropical Disease Hospital,OPD,1,Keep up the good job,0.4404,Keep up the good job,
OP-DPOS-2023-367-809753,Sizwe Tropical Disease Hospital,OPD,1,"Thank for good heaqlth care and greet white a good smile
",0.936,"Thank for good heaqlth care and greet white a good smile
",heaqlth
OP-DPOS-2023-367-381105,Sizwe Tropical Disease Hospital,OPD,1,I like to come to this hospital because everyone is friedly they treat us with respect all the time and they are always available to hepl and explain to any questionyou have with a smile.,0.8689,I like to come to this hospital because everyone is friedly they treat us with respect all the time and they are always available to hepl and explain to any questionyou have with a smile.,"smile.,questionyou,friedly,hepl"
OP-DPOS-2023-367-371072,Sizwe Tropical Disease Hospital,OPD,1,"Evrything is perfect.
",0.5719,"Evrything is perfect.
","perfect.,evrything"
OP-DPOS-2023-367-268590,Sizwe Tropical Disease Hospital,OPD,1,I like this hospital because they know how to treat patients and they take care of patients.,0.8126,I like this hospital because they know how to treat patients and they take care of patients.,patients.
OP-DPOS-2023-367-438702,Sizwe Tropical Disease Hospital,OPD,1,I want to come back to Sizwe because the love I gt I was happy when I was at izwe and I will like to thank all the workers for making us feel at home.,0.936,I want to come back to Sizwe because the love I gt I was happy when I was at izwe and I will like to thank all the workers for making us feel at home.,"gt,izwe,sizwe,home."
OP-DPOS-2023-367-665670,Sizwe Tropical Disease Hospital,OPD,1,Thank you for the good work keep it up.,0.6597,Thank you for the good work keep it up.,up.
OP-DPOS-2023-367-594565,Sizwe Tropical Disease Hospital,OPD,1,Everything is well,0.2732,Everything is well,
OP-DPOS-2023-367-386508,Sizwe Tropical Disease Hospital,OPD,1,"From the first day I got to the hospital,  was given reassuarence that I will be well and everything is going to be ok. Today 31.08.2023 as Im writing this I am happy to say that they kept thair promise and Iam happy with evrything. May good Lord bless the staff member of Sizwe hospital.",0.9565,"From the first day I got to the hospital,  was given reassuarence that I will be well and everything is going to be ok. Today 31.08.2023 as Im writing this I am happy to say that they kept thair promise and Iam happy with evrything. May good Lord bless the staff member of Sizwe hospital.","ok.,hospital.,hospital,,31.08.2023,reassuarence,sizwe,evrything.,thair"
OP-DPOS-2023-367-482023,Sizwe Tropical Disease Hospital,OPD,1,All is well,0.2732,All is well,
OP-DPOS-2023-57-992786,Charlotte Maxeke Academic Hospital,Premature low care,1,"I am happy they take good care of my child,  she's gaining well and growing day by day ",0.9371,"I am happy they take good care of my child,  she's gaining well and growing day by day ","child,"
OP-DPOS-2023-57-263986,Charlotte Maxeke Academic Hospital,Premature low care,1,Don't have any complaint so far ,0.2235,Don't have any complaint so far ,
OP-DPOS-2023-57-583472,Charlotte Maxeke Academic Hospital,Premature low care,1,So far all is good I am happy as a mother with all the work that has been done.  God bless everyone taking care of each and every child ,0.9287,So far all is good I am happy as a mother with all the work that has been done.  God bless everyone taking care of each and every child ,done.
OP-DPOS-2023-57-605372,Charlotte Maxeke Academic Hospital,Premature low care,1,Everything is good.  I always go home with a smile. Workers doing their job and I'm grateful about that. ,0.8126,Everything is good.  I always go home with a smile. Workers doing their job and I'm grateful about that. ,"good.,smile.,that."
OP-DPOS-2023-57-640752,Charlotte Maxeke Academic Hospital,ward 256,1,Im happy to come to the hospital clinic ,0.5719,Im happy to come to the hospital clinic ,
OP-DPOS-2023-57-644260,Charlotte Maxeke Academic Hospital,Ward 256,0.94,We have been attended very well in the ward 256. all is well and the doctors are available all the time ,0.584,We have been attended very well in the ward 256. all is well and the doctors are available all the time ,
OP-DPOS-2023-57-041541,Charlotte Maxeke Academic Hospital,Ward 256,1,"They are very helpfull, the assist, communicate well with us ",0.2732,"They are very helpfull, the assist, communicate well with us ","helpfull,,assist,"
OP-DPOS-2023-57-793924,Charlotte Maxeke Academic Hospital,Ward 256,0.61,The hospital needs to improve to toilet cleanliness adn make sure the toilet paper are available. The toilet are really bad. please pay attention to that ,0.323,The hospital needs to improve to toilet cleanliness adn make sure the toilet paper are available. The toilet are really bad. please pay attention to that ,"available.,bad.,adn"
OP-DPOS-2023-57-120284,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology,1,the sisters re care for me,0.4939,the sisters re care for me,
OP-DPOS-2023-57-519318,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology,1,service is good,0.4404,service is good,
OP-DPOS-2023-57-590701,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology,1,smilling ever,0.4588,Smiling ever,
OP-DPOS-2023-57-454113,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology,1,we are happy for know,0.5719,we are happy for know,
OP-DPOS-2023-57-458607,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology,1,working so hard every day make us feel happy,0.4601,working so hard every day make us feel happy,
OP-DPOS-2023-57-074664,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology,1,Thanks for taking care of us we really appreciate and value in every aspect in life. Thanks again and love you so big so much you always make a different in our life and South Africa as whole.,0.9575,Thanks for taking care of us we really appreciate and value in every aspect in life. Thanks again and love you so big so much you always make a different in our life and South Africa as whole.,"whole.,life."
OP-DPOS-2023-57-681349,Charlotte Maxeke Academic Hospital,Premature low care ,1,"I'm happy with the condition of the ward my baby is in.  The nurse is very helpful and explains everything to me.  I am clear.  My baby is well fed. The nurse is friendly,  she even helped me with how to breastfeed my baby,  how to hold him and how to see if he is full.  I am happy with the nurse and I'm convinced that my baby is in good hands.  The service is excellent. 
Thank you ",0.9821,"I'm happy with the condition of the ward my baby is in.  The nurse is very helpful and explains everything to me.  I am clear.  My baby is well fed. The nurse is friendly,  she even helped me with how to breastfeed my baby,  how to hold him and how to see if he is full.  I am happy with the nurse and I'm convinced that my baby is in good hands.  The service is excellent. 
Thank you ","hands.,in.,friendly,,excellent.,fed.,clear.,full.,baby,,me."
OP-DPOS-2023-57-039435,Charlotte Maxeke Academic Hospital,Premature low care ,1,The doctors and the nurses are both loving and patient people.  They are always available to help and they answer all the questions we ask.  Always been a pleasure meeting them.  I love them so much xxx,0.9382,The doctors and the nurses are both loving and patient people.  They are always available to help and they answer all the questions we ask.  Always been a pleasure meeting them.  I love them so much xxx,"them.,people.,ask.,xxx"
OP-DPOS-2023-57-617555,Charlotte Maxeke Academic Hospital,Premature low care ,1,I am happy with their service ,0.5719,I am happy with their service ,
OP-DPOS-2023-57-769919,Charlotte Maxeke Academic Hospital,Premature low care ,1,"The staff in this ward is nice. The floor is clean,  everyone doing their job ",0.6705,"The staff in this ward is nice. The floor is clean,  everyone doing their job ","nice.,clean,"
OP-DPOS-2023-57-168225,Charlotte Maxeke Academic Hospital,ward 256,0.83,"the comment is that u do care about your patients, we are so happy about that. u must do like that always
we are so happy
thanks very much ",0.9605,"the comment is that u do care about your patients, we are so happy about that. u must do like that always
we are so happy
thanks very much ","patients,,that."
OP-DPOS-2023-57-403246,Charlotte Maxeke Academic Hospital,ward 256,1,"everything i clear, so all in one am happy with the service ",0.743,"everything i clear, so all in one am happy with the service ","clear,"
OP-DPOS-2023-57-738797,Charlotte Maxeke Academic Hospital,ward 256,1,"the servicein this clinic is excellent
the staff explain everything in the morning
what is expected from us parents/patients 
the doctors are also friendly and explain the illness",0.6369,"the servicein this clinic is excellent
the staff explain everything in the morning
what is expected from us parents/patients 
the doctors are also friendly and explain the illness","parents/patients,servicein"
OP-DPOS-2023-57-407285,Charlotte Maxeke Academic Hospital,ward 256,1,the staff and nurses and doctors well kind adn they help us on time ,0.802,the staff and nurses and doctors well kind adn they help us on time ,adn
OP-DPOS-2023-57-465256,Charlotte Maxeke Academic Hospital,ward 256,0.94,im happy no complaints ,-0.0516,im happy no complaints ,
OP-DPOS-2023-57-641395,Charlotte Maxeke Academic Hospital,ward 256,1,"we as a family would like to say thankyou to sister olga and whole team in diabetic clinic
they have always been very helpful and attending to the needs of their patients. we as a family, parents of Liam Van Royen would like to say thank you for everything 
you are much appreciated ",0.9168,"we as a family would like to say thankyou to sister olga and whole team in diabetic clinic
they have always been very helpful and attending to the needs of their patients. we as a family, parents of Liam Van Royen would like to say thank you for everything 
you are much appreciated ","patients.,family,,royen"
OP-DPOS-2023-57-739278,Charlotte Maxeke Academic Hospital,ward 256,1,sometimes you wait a little bit longer to get the file ,0.0,sometimes you wait a little bit longer to get the file ,
OP-DPOS-2023-57-110564,Charlotte Maxeke Academic Hospital,ward 256,0.94,"the service is very good and all the staff are very kind and friendly towards the patients
but the reception ladies are very rude at some point ",0.0607,"the service is very good and all the staff are very kind and friendly towards the patients
but the reception ladies are very rude at some point ",
OP-DPOS-2023-57-851214,Charlotte Maxeke Academic Hospital,ward 256,1,"i think reception system is too slow 
we came at 7 but being attended by doctors at 11 while we waiting the file ",0.0,"i think reception system is too slow 
we came at 7 but being attended by doctors at 11 while we waiting the file ",
OP-DPOS-2023-57-666861,Charlotte Maxeke Academic Hospital,ward 256,0.61,"the hospital needs to improve toilet cleanliness and make sure the toilet papers are available
the toilets are really bad
please pay attention to than",0.323,"the hospital needs to improve toilet cleanliness and make sure the toilet papers are available
the toilets are really bad
please pay attention to than",
OP-DPOS-2023-57-586312,Charlotte Maxeke Academic Hospital,ward 256,0.89,i like the hospitality i got from the staff and the doctors ,0.3612,i like the hospitality i got from the staff and the doctors ,
OP-DPOS-2023-57-414713,Charlotte Maxeke Academic Hospital,ward 256,0.94,i like the support they give us and also the respect ,0.8074,i like the support they give us and also the respect ,
OP-DPOS-2023-57-304181,Charlotte Maxeke Academic Hospital,ward 256,1,great hospitality,0.6249,great hospitality,
OP-DPOS-2023-367-996048,Sizwe Tropical Disease Hospital,OPD,1,All I can say is that there is no better hospital than Sizwe. The best reatment I ever receive in my life. This hospital and the staff saved my life. Thank you Sizwe God bless you.,0.9337,All I can say is that there is no better hospital than Sizwe. The best reatment I ever receive in my life. This hospital and the staff saved my life. Thank you Sizwe God bless you.,"you.,reatment,life.,sizwe,sizwe."
